Nr;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;StanDost;Wart;OstRez;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
510;130;WADXZK130;ZAKOŃCZENIE DWW/SPU 130/200 K/K;2421300005;WADEX KIELICH-KIELICH;1.000;;1161129;WAWR01;14261689;1;13000;STE;SCE;03675;
511;130;WADXK45130;KOLANO SPALINOWE DWW 45° 130/200;2171300005;WADEX;1.000;;1161129;WAWR01;14261689;1;14000;STE;SCE;03675;
512;130;WADXT45130;TRÓJNIK SPALINOWY DWW 45° 130/200;2091300005;WADEX;1.000;;1161129;WAWR01;14261689;1;15000;STE;SCE;03675;
513;130;WADXW130;WYCZYSTKA SPALINOWA DWW 130/200;2111300005;WADEX;1.000;;1161129;WAWR01;14261689;1;16000;STE;SCE;03675;
514;130;WADXOD130;ODSKRAPLACZ SPALINOWY DWW 130/200;2141300005;WADEX;1.000;;1161129;WAWR01;14261689;1;17000;STE;SCE;03675;
515;130;WADXRU100130;RURA SPALINOWA DWW 130/200 L=1000;2031300005;WADEX;6.000;;1161129;WAWR01;14261689;1;18000;STE;SCE;03675;
516;130;WADXUP130;USTNIK POD PARASOL DWW 130/200;2021300005;WADEX SPALINOWY;1.000;;1161129;WAWR01;14261689;1;19000;STE;SCE;03675;
517;130;WADXOK130140;OBEJMA KONSTRUKCYJNA DWW 120-140/200;2262000005;WADEX;4.000;;1161129;WAWR01;14261689;1;21000;STE;SCE;03675;
518;130;WADXOS130140;OBEJMA SZEROKA DWW 70 200;2642000005;WADEX;6.000;;1161129;WAWR01;14261689;1;22000;STE;SCE;03675;
519;130;WADXPD200;PRZEJŚCIE DACHOWE DWW 0° 120-140/200;2312000005;WADEX;1.000;;1161129;WAWR01;14261689;1;23000;STE;SCE;03675;
520;130;WADXKO130140;KOŁNIERZ PRZECIWDESZCZOWY DWW 120-140/;2302000005;200 WADEX;1.000;;1161129;WAWR01;14261689;1;24000;STE;SCE;03675;
